"synonym","unacceptreason","aphiaid","scientific","match_type"
"Leuciscus persidis",NA,1012346,"Acanthobrama persidis","exact"
"Petroleuciscus persidis",NA,1012346,"Acanthobrama persidis","exact"
"Pseudophoxinus persidis",NA,1012346,"Acanthobrama persidis","exact"
"Leuciscus tricolor","synonym",238078,"Acanthobrama tricolor","exact"
"Abramis urmianus",NA,1018992,"Acanthobrama urmianus","exact"
"Acanthalburnus urmianus","senior synonym",1018992,"Acanthobrama urmianus","exact"
"Aconthocepola abbreviata","misspelling",278762,"Acanthocepola abbreviata","exact"
"Cepola abbreviata",NA,278762,"Acanthocepola abbreviata","exact"
"Cepola indica",NA,218873,"Acanthocepola indica","exact"
"Acanthocepola krusensterni","misspelling",278763,"Acanthocepola krusensternii","exact"
"Cepola krusensternii","synonym",278763,"Acanthocepola krusensternii","exact"
"Cepola limbata",NA,278764,"Acanthocepola limbata","exact"
"Acanthochaenus lutkeni","misspelling",127280,"Acanthochaenus luetkenii","exact"
"Acanthochaenus lutkenii","misspelling",127280,"Acanthochaenus luetkenii","exact"
"Stephanoberyx gillii",NA,127280,"Acanthochaenus luetkenii","exact"
"Abudefduf jordani",NA,279469,"Acanthochromis polyacanthus","exact"
"Acanthochromis polyacathus","misspelling",279469,"Acanthochromis polyacanthus","exact"
"Acanthochromis polycanthus","misspelling",279469,"Acanthochromis polyacanthus","exact"
"Acanthocromis polyacanthus","misspelling",279469,"Acanthochromis polyacanthus","exact"
"Chromis desmostigma",NA,279469,"Acanthochromis polyacanthus","exact"
